billnumber,billid,billstatusdate,billstatus,billtitle,billdescription,new_column_name
AJR5,1971848,2025-02-19,2,Proclaiming February 2025 as Black History Month.,Relating to: proclaiming February 2025 as Black History Month.,
AB50,1974122,2025-02-18,1,"State finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)","An Act; Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)",
SB45,1974279,2025-02-18,1,"State finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)","An Act; Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)",
AB26,1972724,2025-02-17,1,Battery or threat to jurors and providing a penalty.,"An Act to renumber and amend 940.20 (3) (title) and 940.20 (3); to amend 48.685 (2) (bb), 48.685 (5) (bm) 4., 48.686 (1) (c) 9., 48.686 (1) (c) 12., 48.686 (2) (bb), 50.065 (2) (bb), 165.70 (1) (b), 165.84 (7) (ab) 2., 301.048 (2) (bm) 1. a., 767.461 (4), 940.03, 941.29 (1g) (a), 941.291 (1) (b), 941.39 (title), 946.82 (4), 949.03 (2), 968.26 (1b) (a) 2. a., 969.08 (10) (b), 973.049 (2) and 973.123 (1); to create 939.22 (21) (es), 940.202 (1) and (3) and 941.38 (1) (b) 5s. of the statutes; Relating to: battery or threat to jurors and providing a penalty.",
AB27,1972872,2025-02-17,1,Expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.,"An Act to amend 45.44 (3) (c) (intro.) and 45.51 (2) (a) 1.; to create 36.27 (2) (b) 5., 36.27 (3p) (a) 1r. g., 38.24 (8) (a) 1r. g. and 45.01 (12) (fm) of the statutes; Relating to: expanding veterans benefits to individuals who served in Laos in support of the United States during the Vietnam War.",
AB28,1972637,2025-02-17,1,Special registration plates with white lettering on a black background. (FE),"An Act to amend 341.14 (6r) (e) and 341.14 (6r) (fm) 7.; to create 341.14 (6r) (b) 23., 341.14 (6r) (cm) and 341.14 (6r) (f) 70. of the statutes; Relating to: special registration plates with white lettering on a black background. (FE)",
AB29,1972957,2025-02-17,1,Impoundment of vehicles used in certain traffic offenses.,An Act to create 345.13 of the statutes; Relating to: impoundment of vehicles used in certain traffic offenses.,
AB30,1972911,2025-02-17,1,Prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.,"An Act to renumber and amend 710.02 (1) and 710.02 (9); to amend 710.02 (2) (intro.), 710.02 (3), 710.02 (5) (a) (intro.), 710.02 (5) (a) 1., 710.02 (5) (a) 2. and 710.02 (6); to create 710.02 (1g), 710.02 (1r) (d) and 710.02 (9) (b) of the statutes; Relating to: prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.",
AB31,1972736,2025-02-17,1,Repair and replacement of implements of husbandry under warranty.,An Act to create subchapter XI of chapter 218 [precedes 218.60] of the statutes; Relating to: repair and replacement of implements of husbandry under warranty.,
AB32,1972823,2025-02-17,1,Access to public high schools for military recruiters.,An Act to amend 119.04 (1); to create 118.40 (4) (ar) 3. and 120.12 (29) of the statutes; Relating to: access to public high schools for military recruiters.,
AB33,1972649,2025-02-17,1,Representations depicting nudity and providing a penalty.,"An Act to create 942.09 (1) (e), 942.09 (2) (am) 4. and 942.09 (3m) (a) 3. of the statutes; Relating to: representations depicting nudity and providing a penalty.",
AB34,1972700,2025-02-17,1,Court-issued criminal complaints in officer-involved deaths.,An Act to renumber 968.02 (3) and 968.26 (2) (d); to create 968.02 (3) (b) and 968.26 (2) (d) 2. of the statutes; Relating to: court-issued criminal complaints in officer-involved deaths.,
AB35,1972772,2025-02-17,1,Withdrawal of candidacy for certain offices filled at the general election and providing a penalty. (FE),"An Act to create 8.35 (1m), 12.13 (3) (ag) and 12.60 (1) (am) of the statutes; Relating to: withdrawal of candidacy for certain offices filled at the general election and providing a penalty. (FE)",
AB36,1972885,2025-02-17,1,Law enforcement and firefighter annuitants in the Wisconsin Retirement System who are rehired by a participating employer. (FE),"An Act to amend 40.22 (1), 40.22 (2m) (intro.), 40.22 (2r) (intro.) and 40.22 (3) (intro.); to create 40.26 (7) of the statutes; Relating to: law enforcement and firefighter annuitants in the Wisconsin Retirement System who are rehired by a participating employer. (FE)",
AB37,1972835,2025-02-17,1,Personalized registration plate fees for gold star family special registration plates. (FE),An Act to amend 341.145 (3) of the statutes; Relating to: personalized registration plate fees for gold star family special registration plates. (FE),
AB38,1972859,2025-02-17,1,An income tax exemption for cash tips paid to an employee. (FE),"An Act to repeal 71.63 (6) (n) 1. and 71.63 (6) (n) 2.; to renumber and amend 71.63 (6) (n) (intro.); to amend 71.05 (6) (b) 19. cm., 71.05 (6) (b) 19. dm., 71.05 (6) (b) 28. e., 71.05 (6) (b) 28. f., 71.05 (6) (b) 32. b., 71.05 (6) (b) 32. c., 71.05 (6) (b) 33. b., 71.05 (6) (b) 33. c., 71.05 (6) (b) 35. c., 71.05 (6) (b) 35. d., 71.05 (6) (b) 38. c., 71.05 (6) (b) 38. d., 71.05 (6) (b) 42. c., 71.05 (6) (b) 42. d. and 71.05 (6) (b) 43. f.; to create 71.05 (1) (j) of the statutes; Relating to: an income tax exemption for cash tips paid to an employee. (FE)",
AB39,1972947,2025-02-17,1,Requiring state employees to perform their work at the offices of their employer.,An Act to create 230.35 (6) of the statutes; Relating to: requiring state employees to perform their work at the offices of their employer.,
AB40,1972748,2025-02-17,1,School safety grants and making an appropriation. (FE),An Act to repeal 20.455 (2) (fc); to create 20.455 (2) (fc) of the statutes; Relating to: school safety grants and making an appropriation. (FE),
AB41,1972686,2025-02-17,1,Local regulation of vegetable gardens.,An Act to create 66.04075 of the statutes; Relating to: local regulation of vegetable gardens.,
AB42,1972799,2025-02-17,1,Local regulation of fowl.,An Act to create 66.0443 of the statutes; Relating to: local regulation of fowl.,
AB43,1972787,2025-02-17,1,"Permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)","An Act to amend 450.095 (title) and 450.095 (3); to create 49.46 (2) (bg), 450.01 (16) (L), 450.095 (1) (ag) and (ar) and 450.095 (2m) of the statutes; Relating to: permitting pharmacists to prescribe certain contraceptives, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, granting rule-making authority, and providing a penalty. (FE)",
AB44,1972935,2025-02-17,1,"Allowing advanced practice nurse prescribers to pronounce the date, time, and place of a patient’s death for purposes of the preparation of death records.","An Act to amend 69.01 (6g); to create 69.01 (1g) and 69.18 (1) (cL) of the statutes; Relating to: allowing advanced practice nurse prescribers to pronounce the date, time, and place of a patient’s death for purposes of the preparation of death records.",
AB45,1972712,2025-02-17,1,Ratification of the Dietitian Licensure Compact. (FE),"An Act to renumber and amend 448.78; to amend 146.81 (1) (em), 146.997 (1) (d) 6., 252.14 (1) (ar) 4m., 253.065 (3), 253.065 (5), 440.03 (9) (a) (intro.), 440.03 (9) (a) 2., 440.03 (13) (b) (intro.), 440.15, 446.01 (1v) (f), 446.02 (6m), 448.70 (1m), 448.72 (6), 448.74 (1), 448.78 (title), 448.80, 448.82, 448.87 (2) (intro.), 448.87 (2) (a), 448.956 (1m) and 450.10 (3) (a) 5m.; to repeal and recreate 632.895 (1) (b) 5. b.; to create 14.833, 440.03 (11m) (c) 2rm., 440.03 (13) (c) 1. gm., 448.70 (1r), 448.70 (1s), 448.78 (1m) (title), 448.78 (1m) (f), 448.78 (2m), (3m) and (4m) and subchapter XIV of chapter 448 [precedes 448.9887] of the statutes; Relating to: ratification of the Dietitian Licensure Compact. (FE)",
AB46,1972897,2025-02-17,1,Flags flown at state and local government buildings and eliminating a related administrative rule.,An Act to create 1.14 (1) (am) and 1.14 (1m) of the statutes; Relating to: flags flown at state and local government buildings and eliminating a related administrative rule.,
AB47,1972661,2025-02-17,1,Tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE),"An Act to amend 36.27 (3n) (a) 1m. a., 36.27 (3n) (a) 1m. b., 36.27 (3n) (b) (intro.), 36.27 (3n) (bd), 36.27 (3n) (bg), 36.27 (3n) (bm), 36.27 (3n) (c), 36.27 (3p) (a) 1r. (intro.), 38.24 (7) (a) 1m. a., 38.24 (7) (a) 1m. b., 38.24 (7) (a) 1p., 38.24 (7) (b) (intro.), 38.24 (7) (bd), 38.24 (7) (bg), 38.24 (7) (bm) and 38.24 (8) (a) 1r. (intro.); to create 36.27 (3n) (a) 1r. of the statutes; Relating to: tuition and fee remission for certain veterans and their dependents enrolled in the University of Wisconsin System or a technical college. (FE)",
AB48,1972674,2025-02-17,1,Providing state aid to reimburse public and private schools that provide free meals to all pupils for the costs of those meals and making an appropriation. (FE),"An Act to repeal 115.341; to renumber 115.34 (1); to amend 20.255 (1) (jg), 20.255 (2) (cm), 20.255 (2) (cn), 115.34 (title), 115.34 (2) and 115.341 (1); to create 20.255 (2) (cL), 115.34 (1g) and 115.34 (3) to (5) of the statutes; Relating to: providing state aid to reimburse public and private schools that provide free meals to all pupils for the costs of those meals and making an appropriation. (FE)",
AB49,1972923,2025-02-17,1,A minor’s authority to consent to health care.,An Act to create 48.374 of the statutes; Relating to: a minor’s authority to consent to health care.,
